id,Tx sour.shard,Tx dest.shard,Fee,Value,Ratio
0,60,0,1058866077654000,1009591628592363679,0.001048806316996049
1,32,0,1058866077654000,14998884100642476000,7.059632373642006e-05
2,31,0,1058866077654000,1199681861178405000,0.0008826223950855716
3,1,0,1058866077654000,1313403846544796198,0.0008061999212501052
4,11,44,1058866077654000,36826053922346000,0.028753177842154885
5,9,21,1058866077654000,127339160000000000,0.008315321678374508
6,39,60,1058866077654000,286510400000000000,0.0036957334800202715
7,54,35,1058866077654000,5917970470000000000,0.0001789238528684311
8,63,4,1058866077654000,75621500000000000,0.014002182946040479
9,9,48,1058866077654000,66289080000000000,0.015973461656942592
10,54,59,1058866077654000,2506588100000000000,0.0004224332181478082
11,35,55,1055308593423000,5100000000000000000,0.00020692325361235293
12,14,22,1037866077654000,44812587060943085,0.023160146416955334
13,30,22,1037866077654000,74127983986694000,0.014001002345353104
14,17,48,1037866077654000,796000000000000000,0.0013038518563492463
15,51,18,1023166077654000,365018910000000000,0.00280304951229513
16,51,33,1023166077654000,23709000000000000,0.04315517641629761
17,51,15,1023166077654000,112191400000000000,0.009119826275935588
18,51,54,1023166077654000,106717660000000000,0.009587598506695143
19,22,6,1023166077654000,3258000000000000,0.3140472920976059
20,22,15,1023166077654000,3258000000000000,0.3140472920976059
21,35,41,1018966077654000,10439198346165850,0.09760960984405952
22,27,56,1018966077654000,4000000000009031,0.25474151941292483
23,40,62,1018966077654000,196535858950144750,0.005184631868693647
24,11,54,1018966077654000,880690114970521900,0.0011570086462116206
25,28,44,1018966077654000,53000000000000000,0.019225775050075472
26,39,43,1017076077654000,8683000000000000,0.1171341791608891
27,35,8,1227076077654000,37815800000000000,0.03244876685549426
28,48,55,1220491293168000,40000000000000000,0.0305122823292
29,55,62,1220449293168000,3748128625912637,0.3256156378226831
30,40,1,1195740000000000,1000000000000,1195.74
31,62,8,1143076077654000,646666923922346000,0.0017676427158523798
32,32,36,1126717247523000,2455840000000000,0.45879098293170567
33,44,28,1126717247523000,280626975892961475,0.0040149997837440965
34,0,12,1119825690648000,16920360000000000,0.06618214332602852
