id,Tx sour.shard,Tx dest.shard,Fee,Value,Ratio
0,0,41,1095389150415000,93844830000000000,0.011672344128227416
1,0,35,1095389150415000,97300000000000000,0.01125785355
2,0,55,1095389150415000,36770490000000000,0.029789898106198746
3,54,56,1095389150415000,14271790000000000,0.07675205075291887
4,9,58,1095389150415000,13208430000000000,0.08293106375360282
5,33,30,1094567262978000,95122913383136900,0.011506872782263223
6,21,0,1092000000000000,1626671800000000000,0.0006713093569335868
7,55,56,1063889150415000,101000000000009031,0.010533555944702028
8,13,21,1058980097784000,198431056534085000,0.005336765908929665
9,10,40,1055489150415000,3001000000000009031,0.000351712479311895
10,42,11,1055489150415000,3946968530819904,0.26741767565999397
11,4,1,1055489150415000,1000000000000000000,0.001055489150415
12,62,10,1055489150415000,780234000000000000,0.0013527853828659096
13,58,6,1055489150415000,10000000000000000,0.1055489150415
14,2,52,1054932650415000,47731002181925000,0.022101623728623215
15,44,19,1053599150415000,432162000000000000,0.0024379726825010067
16,23,33,1580398725612000,32419610000000000,0.04874823372680918
17,9,44,1311490327455000,869620335594562020,0.0015081182830876765
18,51,16,1264276980498000,314573309273350975,0.004019021777208048
19,36,9,1264276980498000,68744292116999993,0.018391010243385034
20,26,8,1260000000000000,376007688468849439,0.003350995308449352
21,48,8,1260000000000000,2780788431120705729,0.0004531089046181763
22,9,53,1250892014820000,107065077866523431,0.011683473638149967
23,22,20,1104773241306000,10000000000000000,0.1104773241306
24,0,52,1104773241306000,438828030000000000,0.0025175539522988085
25,1,16,1104773241306000,21554030000000000,0.05125599441524392
26,54,29,1104773241306000,297200000000000000,0.0037172720097779274
27,47,44,1104773241306000,37342106758694000,0.02958518780006397
28,3,5,1104773241306000,55317614306917242,0.01997145493615137
29,10,43,1104773241306000,27926132465030414,0.03956055292258662
30,26,2,1092000000000000,7800000000000000,0.14
31,37,40,1092000000000000,598908000000000000,0.0018233184395599993
32,12,37,1083773241306000,17436810000000000,0.06215432990931254
33,10,29,1083773241306000,19174780000000000,0.05652076536502635
34,19,16,1083773241306000,9608640000000000,0.11279153358914477
35,51,48,1069073241306000,21542870000000000,0.04962538609321785
36,47,21,1068378888675000,198414310626998000,0.005384585846146255
37,40,41,1065923241306000,4551381907924411631,0.00023419771464357252
38,16,30,1065083241306000,2000000000000000000,0.000532541620653
39,58,1,1064873241306000,5000000000000000000,0.0002129746482612
40,25,16,1064873241306000,400000000000000000,0.002662183103265
41,41,42,1064873241306000,22300000000000000,0.047752163287264573
42,35,18,1064873241306000,440000000000000000,0.0024201664575136364
43,2,20,1064873241306000,5000000000000000,0.2129746482612
44,27,41,1064873241306000,100364132475242008,0.010610097602036113
45,18,47,1064873241306000,50000000000000000,0.02129746482612
46,4,32,1064873241306000,250000000000000000,0.004259492965224
47,39,37,1064873241306000,9000000000000000,0.118319249034
48,13,10,1064873241306000,125000000000000000,0.008518985930448
49,1,49,1064873241306000,20000000000000000,0.0532436620653
50,59,47,1064316741306000,62990000000000000,0.016896598528433084
51,22,5,1062983241306000,964310890708423,1.1023242105303697
52,51,61,1062983241306000,1761200000000000,0.603556235127186
53,42,7,1062983241306000,32583820000000000,0.032623039327678585
54,8,41,1274538227025000,805130000000000000,0.0015830216574031523
55,12,62,1083773241306000,100000000000000000,0.01083773241306
56,23,17,1062773241306000,29175389038172035,0.03642704609407283
57,50,33,1084441402065000,97053180000000000,0.011173682326174165
58,54,8,2100000000000000,362260825849082636,0.0057969282079505255
59,35,56,1263599150415000,93004900000000000,0.013586371797776246
60,35,13,1263599150415000,100797100000000000,0.012536066517935537
61,62,50,1262941402065000,133790000000000000,0.009439729442148142
62,40,39,1165750059243000,78624379424248820,0.01482682684149068
63,23,6,1131103402065000,74300000000000000,0.015223464361574696
64,51,42,1131103402065000,187928660000000000,0.006018791397038642
