id,Tx sour.shard,Tx dest.shard,Fee,Value,Ratio
0,11,34,964831137081000,250452260000000000,0.0038523554831607428
1,26,28,905002137081000,500000000000000000,0.001810004274162
2,18,15,1697143430094000,372483215157698731,0.004556295051779657
3,37,28,1128890171346000,101623070000000000,0.011108601337727743
4,62,27,1128890171346000,50669720000000000,0.02227938443997717
5,32,19,1073260353753000,7111110000000000,0.15092726082890012
6,54,37,1058297243934000,9604025660000000000,0.00011019308791955061
7,28,14,1053331353753000,121416890000000000,0.008675328068055441
8,54,37,1053331353753000,761543280000000000,0.0013831536321258064
9,39,46,1053331353753000,37200000000000000,0.02831535897185484
10,47,0,1053331353753000,529442883448820000,0.0019895089473892665
11,20,0,1053331353753000,329632984885149000,0.00319546708628083
12,32,0,1053331353753000,112966766368069959,0.00932425869676592
13,2,0,1053331353753000,1917428648694559000,0.0005493457889398589
14,3,0,1053331353753000,1107879563525475000,0.0009507634118650111
15,22,0,1053331353753000,135069748087529000,0.007798425396265725
16,4,19,1045351353753000,57440976444940993,0.018198704451951694
17,58,7,1045351353753000,7472356712156000,0.1398958044993257
18,1,62,1043671353753000,10159907620436027,0.1027244924603172
19,37,4,1032331353753000,15078000000000000,0.06846606670334261
20,40,7,1032331353753000,14970000000000053,0.06896001027074124
21,26,8,1032331353753000,14182300000000000,0.07279012245919209
22,11,36,1017631353753000,645493420000000000,0.0015765170057860543
23,22,17,1017631353753000,3078000000000000,0.33061447490350876
24,0,2,1017631353753000,95457120000000000,0.010660612364515083
25,18,60,1013431353753000,55000000000000000,0.01842602461369091
26,44,28,1013431353753000,2800000000000000000,0.0003619397691975
27,51,11,1013431353753000,300000000000000000,0.00337810451251
28,8,29,1013431353753000,200000000000000000,0.005067156768765
29,18,56,1013431353753000,111200000000009002,0.009113591310727679
30,4,52,1013431353753000,630000000000000000,0.0016086211964333333
31,40,19,1013431353753000,236359124053086259,0.00428767604302588
32,2,51,1013431353753000,85000000000000000,0.011922721808858824
33,44,43,1013431353753000,898180000000000,1.1283165442929035
34,37,44,1011541353753000,21684812209709964,0.04664745739878046
35,62,3,1128890171346000,125353920000000000,0.009005623209437727
36,8,42,1092000000000000,3700000000000000,0.2951351351351351
37,8,10,1092000000000000,1163791000000000000,0.000938312807024629
38,40,7,1032331353753000,60000000000000023,0.017205522562549994
39,62,19,1221331353753000,78300000000000000,0.015598101580498085
40,23,35,1011331353753000,39905455604366952,0.02534318524714018
41,28,62,1213849624491000,2798786150375509000,0.0004337057421583066
42,0,28,1113000000000000,13515000000000000,0.08235294117647059
43,38,42,1109912415339000,48200000000000000,0.02302722853400415
44,38,2,1109912415339000,35300000000000000,0.031442278054929176
45,54,13,1104482564493000,3041931011842378,0.36308600037055355
46,8,42,1083692564493000,34463950741089106,0.0314442349524654
47,20,47,1071000000000000,98929000000000000,0.010825945880378858
48,12,4,1050000000000000,8900000000000000,0.11797752808988764
49,36,25,1024652415339000,984449500000000000,0.001040837966131325
50,47,40,1008000000000000,30391600000000000,0.03316705931902236
51,56,9,1003652415339000,49980000000004876,0.02008108073907367
52,40,45,1003652415339000,133960000000000069,0.007492179869655117
53,40,30,1003652415339000,499250000000000028,0.002010320311144717
54,22,28,1003309953282000,100000000000000000,0.01003309953282
55,20,7,984752415339000,124316923720354000,0.007921306173519558
56,19,60,984752415339000,5000000000000000,0.1969504830678
57,14,63,984752415339000,8660428533750084,0.1137071233255231
58,17,56,984752415339000,2264000000009025,0.43496131419393746
59,15,14,984752415339000,2480000000000000000,0.0003970775868302419
60,7,18,984752415339000,78519092571277000,0.012541566427873256
61,27,40,984752415339000,21533161068044789,0.04573190216834316
62,39,51,984752415339000,420294961400540887,0.002343003142501467
63,11,13,982862415339000,5020317906603588,0.19577692760176996
64,10,57,982652415339000,25288051940149572,0.038858367487724636
65,35,59,1192862415339000,11786200000000000,0.1012083975614702
66,42,47,1178571826446000,47021428173554000,0.025064568904541645
67,5,20,1137957772959000,89569282227041000,0.012704777181026132
68,24,13,1130291777643000,998200000000000000,0.0011323299715918654
69,14,36,1029000000000000,86799370000000000,0.011854924753486115
70,27,36,1029000000000000,38922000000000000,0.026437490365346077
71,36,56,1029000000000000,18424390000000000,0.055849881597165495
72,10,56,1011541353753000,39419999358242416,0.02566061314614138
73,22,45,987344576169000,4481800000000000,0.2203009005687447
74,10,54,982862415339000,36776241437399,26.725472123409926
75,0,7,969516344139000,139140253656854000,0.006967906976294649
76,59,7,969516344139000,20330483655861000,0.04768781503432171
77,39,25,968822576169000,476720000000000000,0.002032267528463249
78,32,15,968822576169000,55790600000000000,0.01736533710282736
79,0,36,968822576169000,59557017423831000,0.01626714395844372
80,4,36,968822576169000,54472477423831000,0.01778554275457192
81,60,36,968822576169000,33774926871529223,0.0286846683592874
82,0,16,968822576169000,18826860000000000,0.051459594227024584
83,55,3,968822576169000,57501790000000000,0.016848563778084125
84,16,6,968822576169000,3589920000000000,0.26987302674405
85,63,21,968822576169000,9200000000000000,0.1053068017575
86,7,23,966000000000000,500000000000000,1.932
87,38,46,958322576169000,10000000000000000,0.0958322576169
88,0,11,933122576169000,97700470000000000,0.009550850432643773
89,11,16,933122576169000,1586499610000000000,0.0005881643905156712
90,48,35,928922576169000,27088200000000000,0.034292517633840565
91,61,15,928922576169000,5918350437366098,0.15695633200497125
92,58,39,928922576169000,15992909816176036,0.05808339988445635
93,45,50,928922576169000,50000000000000000,0.01857845152338
94,1,43,928922576169000,2000000000000000000,0.0004644612880845
95,57,52,928901576169000,762443364124032862,0.0012183220680741448
96,25,44,927032576169000,3940176987990995,0.23527688705214037
97,61,7,968822576169000,115082000000000000,0.00841854135459064
98,0,49,933122576169000,52700000000000000,0.01770631074324478
99,23,39,926822576169000,62571255362309390,0.014812273955546745
100,54,9,1890000000000000,12000000000000000,0.1575
101,13,26,1264426692186000,101957536777196918,0.012401502940867363
102,20,54,1239000000000000,117500000000000000,0.01054468085106383
103,39,54,1228578019158000,124032027789074510,0.009905328817547725
104,51,52,1209536357589000,547445030000000000,0.002209420656515961
105,51,30,1209536357589000,112200000000000000,0.010780181440187166
106,13,31,1209536357589000,155594176538839000,0.007773660843194082
107,59,39,1040381357589000,186016050000000000,0.005592965540279992
108,16,40,1040360357589000,6659000000000000,0.156233722419132
109,0,23,1040360357589000,85840000000000000,0.012119761854485088
110,63,1,1040360357589000,7200000000000000,0.14449449410958334
111,9,8,1040360357589000,189807200000000000,0.005481142746897905
112,36,41,1040360357589000,120000000000000000,0.008669669646575
113,42,18,1019360357589000,80000000000000000,0.0127420044698625
114,40,7,1019360357589000,14970000000000054,0.068093544261122
115,32,21,1019360357589000,24551982538839000,0.04151845399761363
116,34,47,1003652415339000,223654709861377466,0.0044875085168609675
117,24,2,1002560357589000,23634473953633908,0.04241940648037363
118,31,9,1000460357589000,29109472327910876,0.03436889361370299
119,10,38,1000460357589000,390000000000000000,0.002565282968176923
120,0,59,1040360357589000,106350000000000000,0.009782419911509167
121,40,42,1019360357589000,49920000000000147,0.02041987895811292
122,41,37,1264426692186000,5497113333430475,0.2300164860157493
123,43,16,1198242429090000,2813251428911888,0.42592795538131384
124,1,46,1112397091386000,24521632365891144,0.045363908682250334
125,56,62,1019735833788000,15588000000000000,0.06541800319399538
126,32,45,1010528268561000,142154900000000000,0.007108641830573551
127,39,26,1010528268561000,56240900000000000,0.017967853796098568
128,9,21,1010528268561000,61235900000000000,0.016502219589505502
129,54,60,1010528268561000,97217420000000000,0.010394518477871558
130,20,2,1000028268561000,467795105000000000,0.0021377484669511454
131,36,38,992283720939000,2023654872499839000,0.0004903423673786939
132,47,19,991167767604000,5000000000000000000,0.0001982335535208
133,56,14,989528268561000,1990000000000023,0.49725038621155204
134,40,42,989528268561000,49920000000000148,0.019822281020853306
135,54,35,987000000000000,2773562000000000,0.3558600817288382
136,10,2,982862415339000,49101548460000,20.016933195898645
137,22,35,974828268561000,3318000000000000,0.293799960386076
138,15,56,970628268561000,16200000000009002,0.05991532521978152
139,63,10,970628268561000,7870000000000000,0.1233326897790343
140,34,23,970628268561000,100000000000000000,0.00970628268561
141,52,56,970628268561000,11000000000009031,0.08823893350547302
142,57,2,970607268561000,10000000000000000,0.0970607268561
143,55,37,970418268561000,20000000000000000,0.04852091342805
144,38,60,970418268561000,3500000000000000,0.277262362446
145,24,3,1019735833788000,1013467149904100000,0.0010061853843851703
146,54,26,1010528268561000,113076820000000000,0.008936652698236474
147,40,42,989528268561000,49920000000000149,0.019822281020853306
148,40,42,989528268561000,49920000000000150,0.019822281020853306
149,40,42,989528268561000,49920000000000151,0.019822281020853306
150,61,45,1010528268561000,172441900000000000,0.00586010864274286
151,34,62,1198242429090000,15156649763283000,0.07905720906692346
152,59,46,1198127356125000,14877551825115000,0.08053256141930722
153,35,25,1178738268561000,198000000000000000,0.005953223578590909
154,23,8,1137541353753000,259402458646247000,0.004385237363167366
155,56,8,1137541353753000,280169563437987134,0.004060188907724746
156,61,8,1137541353753000,1598862458646247000,0.0007114691746006429
157,33,8,1137541353753000,438862458646247000,0.00259202246932207
158,8,6,1124570357589000,123500000000000000,0.00910583285497166
159,51,24,1083992619654000,58519180000000000,0.018523715124750553
160,45,25,1083992619654000,18200000000000000,0.059560034046923074
161,32,29,1083992619654000,13476190000000000,0.08043761772830452
162,28,0,1071000000000000,10467536000000000,0.10231634264262382
163,50,29,1050000000000000,40000000000000000,0.02625
164,11,26,1036469619654000,40593935146455841,0.025532622445067182
165,23,7,1031738268561000,398968261731439000,0.0025860159003211714
166,23,10,1029000000000000,1000000000000000000,0.001029
167,63,60,1025969619654000,80438680000000000,0.012754679958124624
168,0,36,1025969619654000,5000000000000000,0.2051939239308
169,39,33,1025969619654000,50124780000000000,0.020468311674465205
170,54,26,1025969619654000,113096370000000000,0.009071640580984164
171,9,35,1025969619654000,846153300000000000,0.0012125103331204878
172,32,51,1025969619654000,18642050000000000,0.055035235913110415
