id,Tx sour.shard,Tx dest.shard,Fee,Value,Ratio
0,62,45,510975597741000,10001000000000000,0.051092450529047095
1,27,9,441000000000000,213542475539680075,0.002065162909090909
2,51,39,398047895952000,19345603967471621670,2.057562517155276e-05
3,31,39,390180000000000,5999999999999,65.03000000001084
4,33,40,382083980082000,20213359277035494,0.01890254731266206
5,35,55,382083980082000,2025519901291291,0.18863501653991022
6,30,8,378000000000000,38268700000000000,0.009877523929477616
7,56,5,360846597741000,30017777224172640,0.012021096533770608
8,24,51,350186228637000,7910000000000000,0.0442713310539823
9,24,16,350186228637000,90450000000000000,0.0038716000954892205
10,24,50,350186228637000,18720000000000000,0.01870652930753205
11,24,61,350186228637000,57870000000000000,0.006051256758890617
12,53,18,348219158364000,734586250000000000,0.00047403440829991034
13,5,53,348175558458000,154671782299380610,0.002251060621930871
14,47,55,342975597741000,887400000000000,0.38649492646044625
15,61,5,342975597741000,12700000000000000,0.027005952578031497
16,39,58,342975597741000,190204720000000000,0.0018031918332047701
17,36,8,336000000000000,5000000000000000000,6.72e-05
18,36,44,336000000000000,190877180000000000,0.0017602942373729537
19,0,30,321975597741000,1521650070123000,0.21159634797964663
20,42,0,321975597741000,24637910000000000,0.013068299938631157
21,8,2,321975597741000,3079658154389508,0.10454913552079823
22,30,0,317425267467000,76376954732533000,0.004156034612516329
23,49,0,317425267467000,36636200642884000,0.008664251802776793
24,8,0,317425267467000,885964667583603494,0.0003582820840166816
25,31,0,317425267467000,86182574732533000,0.003683172247430841
26,11,15,305175597741000,3933268740000000000,7.758829053236774e-05
27,0,15,305175597741000,10111000000000000,0.030182533650578578
28,5,10,304114050450000,105961193397484251,0.0028700512017564754
29,17,0,304114050450000,92408205949550000,0.003290985333229283
30,10,62,303075597741000,1914970000000000000,0.00015826649907883675
31,3,17,303075597741000,1460000000000000000,0.00020758602585
32,12,18,303075597741000,362360000000000,0.8363936354481731
33,51,3,303075597741000,34816724848741170,0.008704885340527886
34,18,3,303075597741000,46420765555791958,0.006528879782836433
35,9,47,302025597741000,7538743895671871,0.040063119522391305
36,42,13,302025597741000,2000000000000000,0.1510127988705
37,41,2,301185597783000,1654890000000000000,0.00018199735195874046
38,22,7,301185597741000,9256080141232036,0.03253921672516013
39,62,30,509178635490000,34633570000000000,0.014701881310243211
40,62,34,509178635490000,14273000000000000,0.03567425457086807
41,19,13,382083980082000,61817916019918000,0.0061807968414673
42,18,50,360360000000000,2000000000000,180.18
43,51,53,359049635490000,11100000000000000,0.032346814008108106
44,11,58,359049635490000,2584960000000000,0.1388994937987435
45,33,35,353530807980000,71942386366469164,0.0049140823071831445
46,6,35,353530807980000,126960907711793799,0.002784564275347879
