id,Tx sour.shard,Tx dest.shard,Fee,Value,Ratio
0,12,48,1890000000000000,6714707557279974,0.28147167748964635
1,40,3,510703083681000,310000000000000000,0.0016474293021967743
2,21,59,508039326018000,371271737231509358,0.001368375976599609
3,5,12,504000000000000,344681623949904240,0.00146221894345389
4,39,52,490711083681000,15852600000000000,0.030954612093978276
5,32,41,490711083681000,107490660000000000,0.004565150904097156
6,55,0,490711083681000,431695721947560064,0.0011367059220953057
7,28,0,490711083681000,89459900694450000,0.005485263004673145
8,37,0,490711083681000,629356117949489000,0.000779703366163803
9,32,20,490711083681000,387809000000000000,0.001265342175351784
10,61,28,490711083681000,197200000000000000,0.002488392919274848
11,12,35,469711083681000,27471341144354915,0.017098221787308732
12,56,32,469711083681000,249556166857030000,0.0018821858405530653
13,33,43,450811083681000,2304470130994930,0.19562461566224215
14,38,25,450811083681000,690000000000000,0.6533493966391304
15,56,15,450811083681000,28350400000000000,0.01590140116827276
16,11,6,450811083681000,192341840396993730,0.0023438014461675395
17,27,10,450811083681000,247379656274720631,0.0018223450160362589
18,9,21,450811083681000,556140000000000,0.8106071918599633
19,34,46,450811083681000,17632000000000000,0.02556777924688067
20,4,32,448921083681000,38559680000000000,0.011642240902440062
21,62,12,658711083681000,10777000000000000,0.06112193408935696
22,62,54,658711083681000,5609377000000000000,0.00011743034630779854
23,62,19,658711083681000,579019000000000000,0.001137632933774194
24,62,51,658711083681000,10377000000000000,0.06347798821248916
25,10,52,448869482481000,237276302586311680,0.0018917585851950772
26,23,61,448711083681000,121527293767380092,0.0036922659081004023
27,62,27,650135265108000,286377000000000000,0.002270207681161546
28,62,48,650135265108000,189277000000000000,0.0034348350042952922
29,48,12,570075973572000,8000000000000000000,7.12594966965e-05
30,63,9,554159535279000,21574894244810601,0.02568538825687601
31,21,48,553140000000000,3000000000000,184.38
32,51,6,540725265108000,189312120000000000,0.0028562633238062097
33,3,38,514694673423000,2417963014802393,0.2128629223326078
34,38,7,513287733483000,18000000000000000,0.0285159851935
35,30,47,483000000000000,2158430000000000,0.22377376148404163
36,39,26,482135265108000,1190705300000000000,0.00040491569585522126
37,61,56,482135265108000,592785050000000000,0.0008133391102019189
38,63,60,482135265108000,3594000000000000000,0.00013415004593989984
39,9,8,482135265108000,114600000000000000,0.004207114006178011
40,39,46,471635265108000,10000000000000000,0.0471635265108
41,5,57,456515265108000,1919518538279306,0.2378280053065959
42,0,9,444335265108000,17222380000000000,0.025799875807408734
43,49,51,582739726479456,6999000000000000,0.08326042670087955
44,32,62,442235265108000,1820000000000000000,0.0002429864094
45,47,43,442235265108000,2195473529948917,0.20143047004456013
46,26,7,442235265108000,25000000000000000,0.01768941060432
47,54,20,442214265108000,3093789676845000,0.14293611114475094
48,58,26,442025265108000,48500000000000000,0.009113922991917526
49,25,35,442025265108000,803000000000000000,0.000550467328901619
50,63,52,441000000000000,3930000000000000,0.11221374045801527
51,59,48,440461185108000,10000000000000000,0.0440461185108
52,43,57,440461185108000,2000000000000000,0.220230592554
53,34,54,630000000000000,1758522000000000,0.3582553985676608
54,8,51,588000000000000,498500000000000000,0.0011795386158475426
55,19,9,563424721692000,30000000000000000,0.0187808240564
56,32,31,550576481385000,14619430000000000,0.03766059835335577
57,55,32,514694673423000,19060485326577000,0.027003230222335164
58,38,4,514536721692000,40800000000000000,0.012611194159117647
59,24,27,484507303623000,635410000000000000,0.0007625112976235816
60,24,41,484507303623000,26620000000000000,0.018200875417843727
61,53,43,476518501830000,155115110000000000,0.003072031485714061
62,53,24,476518501830000,1938900000000000,0.2457674464025994
63,11,19,466446721692000,15525188963818133,0.03004451171441884
64,20,13,466094400156000,500000000000000000,0.000932188800312
65,12,6,455967721692000,100000000000000000,0.00455967721692
66,34,45,455946721692000,85856614143177767,0.005310560243287091
67,9,55,455946721692000,42200000000000000,0.01080442468464455
68,41,7,449037003681000,585076830000000000,0.0007674838254678449
69,26,9,434946721692000,27492710000000000,0.015820438279529375
70,15,5,434946721692000,133507690000000000,0.0032578402164849083
71,10,31,434946721692000,9312190000000000,0.04670724305367481
72,5,11,434946721692000,4334610000000000,0.10034275787025822
73,15,25,434946721692000,1397210000000000,0.31129659943172466
74,52,46,434946721692000,21678500000000000,0.020063506316949975
75,52,48,434946721692000,1933990000000000,0.22489605514609692
76,23,35,420246721692000,78212911157736000,0.0053731118746426255
77,34,0,420000000000000,217293200000000000,0.0019328722665964697
78,59,61,420000000000000,220906856000000000,0.001901253802643409
79,42,14,417726721692000,188508830690897000,0.0022159530678801873
80,22,13,417096721692000,50000000000000000,0.00834193443384
81,45,60,416046721692000,9004564922913094,0.046203978232565564
82,62,43,416046721692000,2082461365915753,0.19978604573489667
83,27,61,416046721692000,11728464878862258000,3.5473246157033244e-05
84,24,33,416046721692000,91489313084762944,0.004547489839677137
85,26,56,416046721692000,2000000000009031,0.20802336084506068
86,33,3,416046721692000,1235576831980196,0.33672266339376333
87,41,29,416046721692000,8000000000000000,0.0520058402115
88,15,58,416046721692000,14880000000000000,0.02796012914596774
89,28,34,416046721692000,496210000000000,0.8384488859394208
90,42,7,416046721692000,23117613184180000,0.017996958352807454
91,32,58,416046721692000,1330004732586971,0.31281597087459545
92,45,43,415900981692000,2283474685054201,0.1821351401065031
93,29,42,415900981692000,11645745080321392,0.03571269839958769
94,31,27,415626721692000,241433768865799647,0.0017214937398546972
95,25,43,414996721692000,2325057809937652,0.17848877559871443
96,44,21,414272641692000,5976470000000000,0.06931727954662201
97,38,48,413946721692000,103219492988328663,0.0040103541463704555
98,27,31,787248000000000,52214692000000000,0.015077135760946363
99,48,25,556990368354000,75100000000000000,0.007416649378881491
100,45,40,556990368354000,13700000000000000,0.04065623126671533
101,58,5,528553420920000,245000000000000000,0.002157360901714286
102,7,15,528488238117000,36313433684062518,0.01455351875328018
103,37,42,494031924897000,16875569723106100,0.029274977556495142
104,34,40,493710000000000,2499999999999,197.484000000079
105,47,10,462000000000000,12751200000000000,0.036231884057971016
106,11,39,460012368354000,5651442337874101,0.08139733909539322
107,28,44,449512368354000,17715077631646000,0.02537456384334419
108,30,44,449512368354000,15151288772461323,0.02966825958535122
109,50,44,449512368354000,77738097631646000,0.005782394759439165
110,55,44,449512368354000,9719127631646000,0.0462502793862243
111,61,1,449512368354000,50746400000000000,0.00885801492034903
112,39,16,449512368354000,40062790000000000,0.01122019630569913
113,32,27,449512368354000,16200000000000000,0.02774767705888889
114,36,2,449512368354000,116986860000000000,0.0038424175873598113
115,46,7,434986273764000,21243513726236000,0.020476192374276888
116,45,27,429394368354000,46674206704765148,0.009199821457493812
117,2,0,424942368354000,500000000000000000,0.000849884736708
118,60,38,420000000000000,220675800000000000,0.0019032444880680165
119,0,3,413896410627000,1954170000000000,0.21180163989161638
120,63,50,411755738751000,9588244261249000,0.04294380989177712
121,2,24,411755738751000,904313639377851,0.4553240389410464
122,22,8,411712368354000,1572000000000000,0.2619035422099237
123,12,39,409612368354000,4480000000000000,0.091431332221875
124,11,56,409612368354000,50000000000000000,0.00819224736708
125,32,11,409612368354000,29124453497803000,0.014064207878952958
126,56,51,409612368354000,3916224133339599,0.1045936990344572
127,18,58,409612368354000,1800000000000000,0.22756242686333333
128,7,51,539752069385328,6683000000000000,0.08076493631383032
129,37,61,409612368354000,1484550997473761000,0.00027591667046199925
130,34,24,409612368354000,3525319628979694,0.1161915546570031
131,55,53,409612368354000,115500000000000000,0.003546427431636364
132,10,14,409612368354000,8000000000000000,0.05120154604425
133,19,43,409486368354000,2173714737279625,0.18838091371017096
134,25,4,408562368354000,2800000000000019,0.14591513155499902
135,53,34,408476140863000,11670746881800000,0.035
136,43,1,408476140863000,4617030710266000,0.0884716101096643
137,51,39,527908118327824,5933000000000000,0.08897827714947312
138,42,4,407838288354000,78500000000000000,0.00519539220833121
139,38,59,407512368354000,20812769243205701,0.01957992055704129
140,62,34,599401968564000,4229377000000000000,0.0001417234662608701
141,41,51,536641736862048,6603000000000000,0.0812724120645234
142,38,54,557548968564000,3408755774860800,0.1635637767527561
143,34,52,460043540502000,10000000000000000,0.0460043540502
144,32,58,431401968564000,10187000000000000,0.042348283946598606
145,36,62,431401968564000,108657000000000000,0.00397030995300809
146,7,29,420901968564000,41876866358004200,0.010050942326145429
147,60,46,420901968564000,10000000000000000,0.0420901968564
148,27,57,420000000000000,26406317293178943,0.015905284911065236
149,53,56,410401968564000,206975690305573931,0.0019828510679592007
150,44,56,407251968564000,40871572789730200,0.009964186371274907
151,8,31,403518553179000,33021528270000,12.219863050541967
152,29,42,399047789385000,9399311933354727,0.04245500013345924
153,0,36,399000000000000,3999582000000000000,9.976042496440878e-05
154,3,46,399000000000000,25445000000000000,0.015680880330123798
155,61,7,398487855360000,25047992144640000,0.01590897398318101
156,8,37,393834000000000,11558106000000000,0.034074267877453275
157,22,17,393601968564000,1572000000000000,0.25038293165648856
158,37,54,391501968564000,200000000000000000,0.00195750984282
159,15,20,391501968564000,702397400000000000,0.0005573795810804539
160,18,34,391501968564000,850000000000000000,0.0004605905512517647
161,14,13,391501968564000,59945969024746047,0.00653091400361525
162,48,47,391501968564000,10000000000000000,0.0391501968564
163,20,56,391501968564000,201500000000009019,0.0019429378092505334
164,30,38,391501968564000,100000000000,3915.01968564
165,56,25,391501968564000,620000000000000,0.6314547880064516
166,26,31,391291968564000,10000000000000000,0.0391291968564
167,8,2,391291968564000,51000000000000000,0.007672391540470588
168,33,29,389760480564000,4653340000000000,0.08375929559499198
169,21,11,389727888564000,9788606936525782,0.0398144384682305
170,62,45,599401968564000,10777000000000000,0.05561862935547926
171,62,10,599401968564000,10877000000000000,0.05510728772308541
172,0,33,414272641692000,139246640000000000,0.0029750997344855142
173,7,19,420901968564000,78274516557017100,0.005377254144487811
174,8,32,403518553179000,33021528270000,12.219863050541967
175,8,27,403518553179000,33021528270000,12.219863050541967
176,8,55,403518553179000,33021528270000,12.219863050541967
177,8,20,403518553179000,33021528270000,12.219863050541967
178,12,21,420000000000000,1560855080605,269.08327699276515
179,38,40,391501968564000,501800000000009024,0.0007801952342845615
180,35,31,617838288354000,392346860000000000,0.001574724692212396
181,35,55,617838288354000,3687233700000000000,0.00016756146711123843
182,38,33,566587218645000,53500000000000000,0.0105904153017757
183,24,10,528380927109000,391804047216228140,0.0013485846582319708
184,47,28,462000000000000,1233380000000000000,0.0003745804212813569
185,36,8,440440218645000,29365395049526201,0.01499861377319037
186,38,1,440440218645000,529999999999999999,0.0008310192804622642
187,9,53,440440218645000,114482600000000000,0.003847224107812017
188,54,5,440440218645000,62534600000000000,0.007043144413572646
189,0,34,440440218645000,6000000000000000,0.0734067031075
190,0,43,440440218645000,103004190000000000,0.004275944683852181
191,29,46,429940218645000,10000000000000000,0.0429940218645
192,13,18,440440218645000,1006803350000000000,0.00043746399795451614
193,24,50,428700677412000,64123852630208000,0.006685510302761255
194,24,40,428700677412000,565000000000000000,0.0007587622609061947
195,42,48,420000000000000,230323442000000000,0.0018235225921988435
196,16,6,419440218645000,13000000000000000000,3.226463220346154e-05
197,45,57,416710218645000,1083437334674000,0.384618662573951
198,1,49,407838288354000,96940000000000000,0.004207120779389313
199,0,47,402640218645000,217463020000000000,0.001851534199446876
200,22,6,402640218645000,1886400000000000,0.2134437121739822
201,22,6,402640218645000,5030400000000000,0.08004139206524333
202,38,30,402640218645000,43548568496750000,0.009245773915049556
203,0,31,402640218645000,217524000000000000,0.0018510151461218073
204,0,15,402640218645000,21273400000000000,0.01892693310166687
205,35,34,400540218645000,200000000000000000,0.002002701093225
206,40,14,400540218645000,18455677512147000,0.021702818462306563
207,30,20,400540218645000,424021160123012848,0.0009446231846750271
208,33,7,400540218645000,2920242502310928,0.13715991679733217
209,47,56,400540218645000,277882391925699000,0.0014414019393934742
210,37,31,400540218645000,21446022293479920,0.018676667083703132
211,38,43,398440218645000,24142419958647154,0.01650373986234506
212,32,19,630000000000000,1594943000000000,0.3949984419505901
213,60,51,525000000000000,1014491420000000000,0.0005175006802916086
214,42,19,467608282260000,43307304587315350,0.010797445990138158
215,8,45,456020654187000,3000000000000000,0.152006884729
216,7,5,440461185108000,679559538814892000,0.000648156872135348
217,7,41,433435359189000,28039000000000000,0.015458303048931844
218,54,30,429235359189000,319177700000000000,0.001344816254985859
219,36,48,429235359189000,765615920000000000,0.0005606405875011063
220,37,11,420042000000000,2863221350000000000,0.00014670259426502252
221,54,4,420000000000000,219583200000000000,0.0019127146339064191
222,61,25,408235359189000,1484111676795446690,0.00027507051226123233
223,40,3,408235359189000,259740000000000069,0.0015717077045853541
224,35,25,408235359189000,72034663818655329,0.005667207113185366
225,28,50,407838288354000,5208339665337040,0.07830485616525322
226,9,60,405505359189000,2754389713027815,0.147221490579574
227,11,39,391435359189000,2031163500000000000,0.0001927148450575249
228,0,12,391435359189000,490971600000000000,0.0007972668056339715
229,61,27,389335359189000,11728113722630559000,3.319675852372908e-05
230,39,22,389335359189000,53330715822308412,0.007300396276063854
231,45,47,389335359189000,11745774457638865,0.03314684447527389
232,54,56,389335359189000,1211300382373221338,0.00032141933153376933
233,15,26,389335359189000,34679002202832989,0.011226832793856868
234,46,1,389335359189000,4000000000000000,0.09733383979725
235,45,6,389335359189000,100000000000000000,0.00389335359189
236,30,13,389335359189000,39180000000000000,0.009937094415237366
237,54,3,389335359189000,3310946279342969,0.11759035826647737
238,18,4,389125359189000,8000000000000000,0.048640669898625
239,10,38,388500000000000,82211500000000000,0.004725616245902337
240,37,35,387235359189000,219988558206876798,0.0017602522710515002
241,5,48,1890000000000000,131617690000000000,0.014359771851337005
242,25,59,716988366486000,349283011633514000,0.002052743313030929
243,8,0,588000000000000,898500000000000000,0.0006544240400667779
244,34,8,588000000000000,24991352455136608568,2.3528138425303395e-05
245,5,8,588000000000000,584602000000000000,0.0010058125014967448
246,23,8,588000000000000,846811053575920463,0.0006943697741272849
247,30,42,583519366374000,1284437271935150,0.45429962141698216
248,56,44,499273239213000,49500726760787000,0.010086179979250515
249,11,5,442116685605000,92972559560113501,0.00475534596118266
250,51,34,441000000000000,98565449911335760,0.004474184416514104
251,53,34,440883069312000,67871020000000000,0.006495895734468113
252,15,0,431616685605000,9787009543488071,0.04410097728904152
253,5,13,431616685605000,11111200000000000,0.03884519094292246
254,39,60,431616685605000,8644880000000000,0.04992743515294602
255,32,7,431616685605000,1721374100000000000,0.00025073961877606965
256,61,31,431616685605000,36300000000000000,0.01189026682107438
257,22,7,426030906336000,190000000000000000,0.0022422679280842107
258,29,46,418704445572000,32163818597570740,0.013017871130625759
259,52,30,410616685605000,10435840000000000,0.039346778563584726
260,26,10,410616685605000,1669940000000000,0.24588708911996837
261,12,53,410616685605000,18121150000000000,0.022659526884607213
262,12,53,410616685605000,84872410000000000,0.0048380467292610165
263,15,19,410616685605000,27054580000000000,0.015177344671586105
264,10,5,410616685605000,19581960000000000,0.020969131057616296
265,36,51,536822040150120,194691000000000000,0.00275730280367413
266,13,49,406939343139000,38773060656861000,0.010495414502878327
267,36,51,399000000000000,21690740000000000,0.01839494641492176
268,41,42,399000000000000,103727131103265252,0.0038466310188679247
269,22,10,393816685605000,1572000000000000,0.2505195201049618
270,35,9,391716685605000,10000000000000000,0.0391716685605
271,46,11,391716685605000,12756354460824487,0.030707572983173597
272,19,29,391716685605000,902500000000000000,0.0004340351087036011
273,7,15,391716685605000,22628529341476888,0.017310744312800046
274,44,58,391716685605000,1170000000000000,0.3348005859871795
275,50,46,391716685605000,63416960000000000,0.006176844263821539
276,37,43,391716685605000,2364618046836403,0.1656574879520494
277,17,32,391716685605000,171909610884377869,0.0022786200468364673
278,52,46,391716685605000,120000000000000000,0.003264305713375
279,35,31,391716685605000,580000000000000,0.6753735958706897
280,51,25,504749400499880,5545000000000000,0.09102784499546979
281,42,56,449100004668000,15639000000000000,0.02871667016228659
282,43,7,597561279189000,462055144866166737,0.0012932683161921772
283,24,47,597561279189000,212402438720811000,0.0028133447185813855
284,58,24,597561279189000,1007631542850578000,0.0005930355033333971
285,49,31,597561279189000,269182238720811000,0.002219913475824738
286,35,55,597561279189000,12059000000000000,0.04955313700879012
287,38,45,530706004668000,29800000000000000,0.01780892633114094
288,12,0,470100004668000,19000000000000000,0.024742105508842104
289,54,62,467931126726000,199532068873274000,0.0023451424593967925
290,41,62,467931126726000,1999532068873274000,0.0002340203160580849
291,14,51,467865942726000,514832134057274000,0.0009087737764907093
292,33,41,459600004668000,1101576822310000,0.41722011153450156
293,29,44,459600004668000,59540399995332000,0.007719128603503384
294,9,50,459600004668000,7293400000000000,0.06301587800861053
295,54,45,459600004668000,3422662000000000000,0.00013428144662487853
296,29,52,445695471060000,19497810000000000,0.022858745216001182
297,0,34,438600004668000,52276868767080000,0.008389944061534859
298,42,20,438600004668000,6000000000000000,0.073100000778
299,24,28,428936866176000,6600000000000000,0.06499043426909092
300,0,7,421800004668000,67975730000000000,0.006205155938273851
301,63,30,421800004668000,38686111863128758,0.010903137698622337
302,8,31,420000000000000,231593579899999990,0.0018135217745731647
303,16,59,419700004668000,998594136098591,0.42029087643927754
304,25,40,419700004668000,6000000000009031,0.06995000077789472
305,0,52,419700004668000,240000000000000000,0.00174875001945
306,57,55,419700004668000,10000000000000000,0.0419700004668
307,16,36,419700004668000,1443488000000000000,0.0002907540656160633
308,56,7,419700004668000,100000000000000000,0.00419700004668
309,27,17,419700004668000,11727759889460442000,3.578688586941296e-05
310,8,51,419700004668000,2000000000000000,0.209850002334
311,10,22,419700004668000,10245490607710866,0.04096436381017511
312,56,44,419700004668000,3845523052381317,0.10913990085382619
313,51,41,533000124242208,5798127439003500,0.09192625202694966
314,38,35,417600004668000,55680277469490691,0.007499962709360037
315,51,13,513606977961000,188632554934298100,0.002722790761859174
