id,Tx sour.shard,Tx dest.shard,Fee,Value,Ratio
0,56,46,571934625255000,30000000000000000,0.0190644875085
1,8,46,571934625255000,32000000000000000,0.01787295703921875
2,47,40,571934625255000,2000000000009031,0.2859673126262087
3,11,38,571934625255000,120000000000000000,0.004766121877125
4,13,43,571934625255000,734930000000000,0.7782164631393466
5,4,56,571934625255000,2500000000009023,0.22877385010117432
6,48,41,571934625255000,5900000000000000000,9.693807207711865e-05
7,22,13,571934625255000,44231571136383146,0.012930461445547638
8,40,16,571934625255000,32500000000000000,0.017597988469384616
9,13,39,571934625255000,10000000000000000,0.0571934625255
10,13,2,571934625255000,4436908742294833,0.12890385141416885
11,16,24,571934625255000,8164762626950729,0.07004914305372756
12,30,43,571913625255000,80000000000000000,0.0071489203156875
13,40,26,570884625255000,64964076548153199,0.008787697071809283
14,33,42,570065625255000,15027070000000000,0.03793591333872804
15,23,44,570044625255000,151984495962600000,0.0037506761570948346
16,6,19,570044625255000,920888265002161600,0.0006190160597319176
17,38,5,569834625255000,41320916940606278,0.013790464187279944
18,32,3,936600000000000,4816800000000000,0.19444444444444445
19,62,11,787298285928000,38041200000000000,0.020695937192517586
20,43,48,731430000000000,3500000000000,208.98
21,2,28,730941679755000,88262835792078060,0.00828142074969004
22,26,0,703582801740000,2106803966660474971,0.0003339574126847972
23,48,42,684011550306000,328768979592537000,0.0020805233850034644
24,0,62,640340285928000,814000000000000000000,7.866588279213759e-07
25,5,53,637356906459000,298779298923287655,0.0021332030323246826
26,53,14,637356906459000,41589500000000000,0.015324947557893218
27,53,10,637356906459000,20193160000000000,0.03156300977454742
28,61,18,632849503587000,38667150496413000,0.016366592714032728
29,7,28,623498285928000,49864180000000000,0.012503931397809009
30,9,0,619298285928000,997200000000000000,0.0006210371900601685
31,0,37,619298285928000,75134840000000000,0.008242491578181308
32,38,40,619298285928000,5942347193648034,0.10421778898917045
33,22,0,602713812939000,33069177001487860,0.018225848587398546
34,35,0,602713812939000,361517286187061000,0.001667178406033774
35,6,0,598298285928000,99180928745336425,0.006032392451821364
36,50,0,598298285928000,177361253468319000,0.0033733314025933547
37,56,0,598298285928000,930317888624890405,0.0006431116645648393
38,37,0,598298285928000,731774249774441201,0.0008175995344362237
39,18,0,598298285928000,699929309588339405,0.0008547981599454475
40,40,34,598298285928000,39940000000000006,0.014979927038758134
41,31,38,587088514593000,4998000000000000000,0.00011746468879411765
42,10,58,586354001457000,973356769884478,0.6024039895737212
43,0,47,583598285928000,28485510000000000,0.020487549140878993
44,0,59,583598285928000,216804580000000000,0.0026918171467041887
45,42,40,579398285928000,2000000000009031,0.2896991429626919
46,27,32,579398285928000,3713251226788549,0.15603530451913422
47,56,20,579398285928000,29355391838901000,0.01973737189773078
48,24,40,579398285928000,101000000000009031,0.0057366166923559225
49,48,21,579398285928000,1600000000000000000,0.000362123928705
50,6,30,579398285928000,19596402016068615,0.029566564589403006
51,45,26,579398285928000,81260534019082923,0.007130131409079052
52,19,32,579398285928000,20326533144516000,0.028504530595977153
53,1,23,595179991620896,6002004946273000,0.09916352901216426
54,14,29,579398285928000,50000000000000000,0.01158796571856
55,36,40,579398285928000,44860000000009031,0.012915699641727226
56,39,19,579398285928000,35000000000000000,0.0165542367408
57,10,54,579377285928000,59211660000000000,0.009784851259498552
58,4,18,578978285928000,14483753354928496,0.03997432652572661
59,63,44,758177164605000,163241075489749311,0.00464452443927086
60,22,52,692967943101000,179138123673545678,0.003868344319402595
61,16,62,684011550306000,4754664645258784,0.1438611555891911
62,57,26,609000000000000,10596093855960939,0.0574740096
63,0,36,609000000000000,1403667280000000000,0.0004338635007578149
64,0,34,598545096471000,20086700000000000,0.029798080146116585
65,56,12,598524096471000,5543000000000000,0.10797836847753924
66,28,4,598524096471000,851538404409094538,0.0007028738731828919
67,61,51,598524096471000,36722610000000000,0.016298517356772842
68,0,50,598524096471000,56430810000000000,0.01060633537726997
69,0,19,598524096471000,491550000000000000,0.0012176260735855967
70,10,56,586354001457000,189408339916382,3.0957137458459187
71,40,18,577524096471000,8196000000000267,0.07046414061383373
72,2,17,577508285928000,39422491714072000,0.014649208125062686
73,6,59,570044625255000,43545374000000,13.090819365910143
74,39,8,567000000000000,1176329000000000,0.48200800966396307
75,38,58,567000000000000,5000000000000000,0.1134
76,31,57,567000000000000,47188700000000000,0.01201558847774997
77,61,17,565601220492000,899434398779508000,0.0006288409930279466
78,44,55,562824096471000,1000000000000000000,0.000562824096471
79,4,19,562824096471000,119000000000000000000,4.7296142560588235e-06
80,0,26,562824096471000,23803120000000000,0.023644971603344434
81,26,39,558624096471000,83568326017193000,0.00668463906236522
82,56,16,558624096471000,143276802060991000,0.003898915165856377
83,12,62,558624096471000,110000000000000000,0.005078400877009091
84,10,28,558624096471000,125000000000000000,0.004468992771768
85,32,61,558624096471000,2050000000000000000,0.00027249955925414635
86,41,34,558624096471000,1040000000000000000,0.0005371385542990385
87,47,19,558624096471000,689380000000000,0.8103282608590328
88,15,45,558624096471000,100000000000000000,0.00558624096471
89,25,55,558624096471000,70894768723133000,0.007879623652523753
90,38,63,558414096471000,52200000000000000,0.010697588055
91,2,20,557574096471000,61737801343797063,0.009031324153674622
92,23,39,556734096471000,151635432921000000,0.003671530365604264
93,37,46,556734096471000,44229310347344643,0.012587446923743955
94,38,12,556524096471000,37595933866030080,0.014802773577965276
95,18,44,895137843180000,1586461640000000000,0.0005642354158528535
96,35,63,766734096471000,211486300000000000,0.0036254551546412227
97,8,34,756000000000000,118560000000000000,0.006376518218623482
98,8,42,756000000000000,55840000000000000,0.013538681948424069
99,5,21,692967943101000,6507032056899000,0.1064952403863278
100,19,4,688380000000000,1000000000000,688.38
101,21,55,672000000000000,29999328000000000000,2.2400501771239676e-05
102,23,25,672000000000000,252018010000000000,0.002666476098275675
103,29,3,668080915761000,3021833375478959,0.2210846306689923
104,51,11,668038915761000,5932210470208025,0.11261213996299323
105,21,47,630000000000000,399370000000000000,0.0015774845381475824
106,49,21,627885157788000,207890000000000000000,3.0202759045071914e-06
107,23,61,625008532533000,100000000000000000,0.00625008532533
108,23,18,617280157788000,114300000000000000,0.005400526314855643
109,24,35,612407506116000,11000000000000000,0.05567340964690909
110,24,56,612407506116000,139729822000000000,0.004382797439733374
111,22,36,609000000000000,12362000000000000,0.0492638731596829
112,36,39,609000000000000,1396144270000000000,0.000436201338991994
